temperature,rainfall,humidity
25.2,48.5,73
31.4,266.7,94
38.8,97.4,90
44.7,142.7,47
15.5,187.8,62
14.7,69.4,44
35.0,205.1,41
19.1,24.2,95
26.3,56.0,55
37.6,258.5,91
16.7,35.1,62
33.9,163.1,23
11.7,277.9,37
26.4,210.3,31
44.3,32.1,96
44.9,228.0,100
9.9,99.7,98
23.5,207.9,97
33.5,250.5,25
15.7,75.8,70
7.0,48.3,42
26.7,47.0,29
35.6,257.9,74
13.5,22.7,38
42.6,278.0,28
28.4,280.9,43
16.4,184.3,71
44.2,262.8,79
10.5,100.0,94
31.8,228.2,40
24.1,190.2,75
21.0,27.9,49
37.8,16.6,82
17.5,241.5,86
10.7,24.0,83
32.3,38.7,71
42.9,209.2,23
28.6,21.3,99
17.9,2.9,43
27.3,170.2,79
34.9,245.8,93
30.8,83.7,40
29.2,115.4,47
44.3,56.7,28
27.5,154.1,75
6.6,67.2,35
33.0,153.2,55
10.8,42.3,82
30.7,282.9,30
33.0,225.9,95
7.0,20.1,78
30.8,160.0,34
35.7,193.5,27
16.1,227.8,86
15.4,210.4,70
32.6,106.8,83
44.0,134.9,24
10.2,105.0,41
24.9,209.9,72
10.7,8.1,56
33.5,36.8,94
6.3,133.1,95
23.0,178.3,52
18.7,298.2,59
8.2,241.8,68
18.1,290.0,26
29.1,98.5,34
29.0,176.2,50
23.2,182.7,79
6.5,14.3,89
33.3,160.3,33
27.7,146.3,79
26.8,21.4,96
24.8,127.7,70
13.0,32.5,97
36.4,19.6,68
32.0,154.6,28
33.4,36.4,39
24.9,29.5,26
8.8,108.1,82
40.0,15.7,95
40.4,39.2,21
20.0,56.6,22
39.2,260.7,34
8.4,101.2,72
36.8,136.1,90
10.3,90.4,71
36.0,207.9,76
10.2,23.7,76
33.0,242.3,37
14.1,127.0,76
33.3,235.2,87
33.4,109.2,82
41.0,171.0,87
14.0,192.4,37
41.6,80.2,29
13.1,259.7,99
43.9,182.7,22
33.8,76.5,95
36.4,238.0,76
5.9,249.2,84
18.9,106.7,78
41.5,181.4,61
12.6,12.2,35
6.6,12.4,38
25.7,178.7,97
24.2,69.8,78
28.6,215.4,70
34.1,223.3,57
40.2,54.9,96
39.3,39.9,57
40.0,185.4,70
11.8,147.2,53
19.0,215.3,31
14.0,136.7,83
25.7,92.1,100
16.4,80.0,39
29.5,89.1,77
23.1,54.4,29
27.5,17.2,49
22.4,143.8,36
14.7,141.7,72
24.3,155.0,91
15.1,27.4,59
30.5,210.4,90
36.7,179.2,31
18.2,74.3,78
27.2,194.3,57
44.7,177.8,28
21.0,43.5,46
12.4,209.9,94
32.0,245.5,42
7.5,297.9,60
42.6,192.5,76
16.6,245.0,36
26.6,112.2,44
38.8,278.2,71
29.7,63.1,68
11.2,259.7,21
13.7,284.4,29
40.6,22.4,78
6.4,32.4,44
39.0,69.9,70
22.6,292.9,76
39.7,49.5,29
10.6,115.5,58
34.7,44.2,78
30.8,279.7,84
39.9,276.0,91
16.3,277.4,43
6.8,293.1,47
15.3,181.2,72
6.0,16.5,89
42.7,227.6,40
12.6,185.5,82
7.7,111.6,40
29.6,84.2,55
28.4,1.4,89
22.6,145.8,84
28.4,247.5,90
16.2,34.4,74
22.5,246.2,70
22.5,285.4,77
37.9,192.4,49
12.3,195.7,20
33.5,6.7,30
17.9,236.2,45
35.2,261.4,83
29.7,49.1,40
8.2,14.9,42
31.8,255.3,63
7.0,223.1,25
35.2,35.2,35
6.2,79.8,46
15.3,57.6,41
12.3,27.4,43
14.7,223.1,88
16.2,234.7,69
22.3,4.1,33
38.0,162.0,32
30.3,211.6,42
14.6,182.2,76
12.0,113.1,81
30.2,85.0,70
41.6,151.7,27
31.5,68.0,27
18.8,28.0,64
9.9,25.9,53
13.0,128.4,78
37.3,230.0,78
40.6,213.2,29
33.6,38.2,86
34.1,4.9,55
44.1,257.3,54
43.3,221.4,40
30.7,39.7,79
34.7,222.6,44
20.0,126.1,83
35.5,136.7,97
40.3,127.2,65
27.1,247.1,45
32.2,162.9,74
13.0,293.2,42
17.6,217.0,78
30.5,103.9,21
29.2,147.7,81
34.3,137.5,84
5.8,165.9,60
24.4,210.2,20
29.9,32.4,42
8.0,15.4,70
44.5,103.4,46
9.8,241.4,73
41.5,233.8,40
15.9,288.7,66
40.0,237.3,67
14.2,239.8,97
7.9,163.1,39
41.8,284.0,64
24.3,90.8,67
7.6,227.2,70
7.7,23.5,92
5.1,248.5,32
37.8,24.2,64
21.1,109.3,93
30.4,151.2,60
30.2,146.6,41
24.3,196.7,26
18.1,190.4,89
32.3,277.7,49
36.5,92.3,85
39.9,264.2,32
25.0,291.2,40
43.3,192.4,34
36.9,253.9,86
6.5,251.6,88
32.9,162.1,59
9.3,240.0,58
21.3,165.9,59
40.5,175.7,39
36.5,267.2,53
33.3,236.7,66
19.8,290.9,37
27.8,58.1,90
10.7,131.2,76
37.2,281.2,84
28.8,227.3,78
39.8,19.9,75
18.6,114.4,81
27.6,56.3,53
18.0,284.1,26
33.0,219.4,57
34.9,129.2,90
21.4,60.3,74
29.5,276.2,24
23.2,283.2,25
36.9,186.7,54
11.8,89.3,57
13.8,192.7,97
6.9,198.6,65
27.4,57.7,97
37.6,212.2,28
44.6,282.9,57
11.2,275.5,23
17.0,19.4,97
27.6,29.3,60
36.4,26.7,45
13.6,274.8,43
29.4,289.7,88
31.0,250.5,56
8.8,98.4,90
10.3,155.1,43
29.5,118.3,27
29.2,78.3,83
18.3,151.9,74
34.8,88.7,21
30.6,171.8,65
33.4,209.4,25
8.4,114.9,100
15.6,137.3,49
41.9,145.1,48
35.0,272.8,35
31.2,236.0,99
7.1,88.1,30
5.5,268.2,72
27.7,91.4,50
30.3,224.6,40
39.1,165.7,97
22.8,112.3,71
16.5,144.2,75
7.8,26.5,67
43.3,166.2,95
6.2,218.1,71
21.5,113.3,82
44.1,214.8,93
18.0,283.0,93
37.8,256.6,97
33.1,216.0,22
38.5,17.4,86
13.7,197.5,31
24.1,69.0,78
13.8,233.4,87
40.1,113.3,21
34.9,75.2,61
31.7,27.1,54
6.6,145.3,57
19.9,125.4,54
44.3,93.3,93
22.7,293.2,73
17.6,141.1,39
7.7,197.5,40
8.1,94.9,79
31.1,59.0,35
12.1,233.4,38
6.4,21.3,54
42.1,221.3,25
33.4,280.7,65
15.1,18.6,29
21.1,103.1,94
36.3,97.8,20
17.9,30.8,31
23.7,5.2,27
10.4,247.3,32
13.8,149.4,50
32.4,102.0,62
26.8,157.6,70
33.0,134.4,51
10.5,186.1,72
26.8,99.6,69
30.5,4.8,45
12.0,149.5,67
33.2,186.3,29
18.0,215.7,95
29.2,54.4,74
43.5,237.9,89
14.5,206.8,100
37.8,238.0,61
13.6,143.3,87
32.3,50.2,100
18.3,269.9,30
40.5,72.5,25
5.7,208.1,36
29.9,87.9,23
27.2,164.4,33
34.6,58.8,79
6.2,10.8,33
9.4,142.6,48
11.8,240.2,99
6.8,157.6,27
33.7,134.5,85
42.4,109.6,98
5.2,272.0,69
39.0,248.5,93
37.0,292.2,76
27.7,51.8,74
7.0,44.3,42
44.4,260.2,83
16.1,238.6,66
40.8,140.4,32
28.1,272.6,23
33.2,128.2,67
11.0,222.9,85
5.8,215.4,79
10.6,147.2,81
24.1,133.2,54
36.6,112.4,98
9.0,95.1,58
28.3,27.1,24
8.0,107.6,82
41.5,291.7,80
20.4,288.1,30
24.2,272.0,52
10.7,212.1,89
16.2,192.5,20
18.1,147.6,25
9.4,110.1,55
11.7,20.1,84
34.1,291.5,54
21.0,30.3,24
44.9,61.7,74
39.0,54.6,46
12.6,261.7,94
40.0,52.9,95
16.3,109.7,87
22.2,185.3,66
20.0,10.6,28
28.5,156.2,90
23.6,168.2,70
25.9,38.1,71
42.5,134.5,89
43.9,168.2,35
21.5,268.2,38
23.3,107.4,78
18.5,132.5,70
43.2,255.0,99
17.2,145.0,84
12.5,253.3,83
13.5,47.3,28
32.1,165.8,62
16.6,9.2,55
35.5,88.6,24
35.1,220.5,48
19.8,52.0,26
35.4,294.4,36
21.3,298.0,29
34.6,278.4,43
18.2,133.0,74
17.0,262.5,40
35.0,0.5,38
31.5,180.3,36
9.2,112.1,56
18.6,124.1,86
9.5,299.4,43
6.5,148.2,94
29.6,227.1,75
30.8,143.9,51
41.8,186.6,21
29.6,172.4,89
20.7,209.3,89
21.1,252.9,37
32.4,98.2,23
41.8,211.2,27
35.1,221.3,31
28.7,262.5,99
41.0,80.4,37
10.5,2.1,59
43.7,22.6,68
34.6,84.7,23
21.5,94.7,44
8.0,57.7,76
27.3,149.1,66
9.3,216.3,90
32.3,199.9,97
9.2,236.7,37
30.2,106.9,72
9.3,105.8,54
9.6,141.9,32
34.3,169.5,66
10.7,192.6,53
31.0,51.6,44
16.5,1.6,99
41.7,5.5,66
29.4,124.4,24
33.8,129.6,80
11.9,152.3,39
18.7,86.2,45
23.7,77.2,44
7.9,105.3,63
15.4,17.3,43
28.4,248.8,93
42.6,247.3,42
39.4,8.0,76
28.5,118.7,47
12.5,111.2,33
16.1,196.6,60
5.7,168.6,66
5.4,40.8,68
40.1,230.8,68
12.4,206.7,40
40.1,210.4,72
18.0,56.4,68
15.5,70.7,23
38.5,206.8,80
43.1,240.6,74
11.8,195.0,38
9.9,205.3,29
44.5,170.4,58
13.3,210.6,76
30.8,172.8,41
7.3,268.5,37
35.3,222.0,93
32.6,2.9,31
24.2,60.6,94
40.5,11.4,75
42.7,205.7,86
23.6,57.8,81
23.5,269.6,77
7.5,12.9,51
20.6,214.2,40
8.4,81.2,33
24.6,126.7,54
37.4,99.9,69
36.4,84.9,38
39.1,199.7,22
29.0,223.8,57
37.5,150.2,63
42.7,277.8,45
33.2,251.7,30
32.0,40.4,46
22.2,233.7,39
9.5,116.1,33
30.6,79.9,83
26.1,38.5,79
39.4,240.8,20
23.8,238.2,53
14.6,94.6,58
16.2,5.8,45
26.2,47.2,73
37.4,10.8,31
41.2,45.2,64
23.7,157.5,77
25.1,160.8,46
19.4,105.9,30
13.5,236.7,70
28.2,162.8,73
16.2,154.6,93
39.6,146.0,50
8.1,271.7,63
6.8,193.2,79
12.4,192.8,67
40.5,288.3,95
38.9,50.9,75
37.3,108.6,99
10.0,89.1,98
27.5,291.3,79
29.3,93.3,50
13.0,286.1,31
27.9,64.1,52
23.1,248.5,79
6.1,102.7,97
31.1,228.6,45
21.0,97.2,98
19.3,68.7,39
36.3,229.2,42
16.3,265.4,63
15.4,2.2,31
28.3,294.9,68
15.9,112.0,91
6.6,92.1,63
13.3,208.5,80
18.0,269.1,75
35.3,160.8,30
19.4,216.7,23
26.0,298.0,88
6.1,126.3,34
21.5,276.1,75
42.7,149.5,38
7.4,225.0,95
36.5,125.0,91
38.7,223.4,55
36.0,66.1,70
8.4,288.8,81
8.4,121.8,42
8.9,158.1,27
20.8,237.5,76
43.4,194.7,47
11.5,107.2,96
7.5,39.1,57
42.0,142.8,57
37.0,34.7,65
5.6,16.3,37
38.3,288.8,52
20.7,134.6,75
21.8,172.6,42
5.5,242.1,51
27.9,269.2,36
11.3,63.6,95
28.9,295.8,79
44.4,151.3,44
5.0,7.8,68
37.8,128.6,92
38.2,281.1,36
22.9,268.8,75
41.5,148.8,46
24.9,84.1,28
11.7,14.7,92
39.2,256.6,77
13.2,104.8,75
12.7,116.4,20
42.9,289.4,82
41.4,159.0,45
20.8,288.7,57
16.2,99.5,30
35.4,23.5,78
14.1,299.0,79
36.9,50.5,85
28.9,68.3,45
38.4,215.6,36
15.3,239.1,33
15.1,257.6,70
13.4,128.6,50
16.1,294.0,34
20.7,106.9,55
34.9,230.5,88
12.1,292.7,46
8.2,102.8,100
25.6,206.0,30
7.0,183.1,70
22.6,221.9,66
37.7,243.3,33
39.1,221.7,81
44.4,168.9,46
40.0,12.9,29
12.5,135.5,59
19.9,73.7,64
33.6,281.8,75
16.7,60.0,34
17.1,17.4,79
40.9,131.0,42
11.5,144.5,68
42.5,119.5,46
39.4,247.7,55
21.6,139.1,20
43.3,132.9,80
6.3,130.2,44
39.4,192.8,37
29.1,287.4,93
15.9,7.3,62
26.5,221.7,64
6.2,223.8,72
42.5,205.7,75
37.3,89.5,82
42.9,299.6,93
41.8,193.4,100
30.1,70.0,48
29.6,62.7,26
19.4,299.6,76
31.5,240.5,80
33.0,198.3,79
13.3,221.0,73
20.5,60.8,29
14.9,120.3,46
34.9,149.7,21
43.5,199.9,43
10.3,46.7,31
10.0,246.3,96
5.1,274.0,34
5.7,153.9,69
17.3,28.0,34
6.5,298.0,57
5.3,67.3,67
24.7,43.7,29
11.3,16.6,82
29.1,22.3,60
37.7,258.5,25
31.6,46.6,31
23.0,61.5,38
12.0,207.4,72
12.2,243.8,83
38.7,239.1,49
31.0,134.9,92
41.8,168.7,100
30.9,43.9,22
29.4,50.2,36
9.2,99.6,54
24.2,154.9,42
13.5,194.8,88
8.2,294.1,46
7.6,147.6,99
22.8,216.7,88
33.0,212.7,52
33.0,81.2,86
10.1,75.7,68
13.4,49.5,20
28.6,232.3,49
16.9,188.3,34
15.7,141.8,26
41.7,213.5,21
26.4,185.9,42
28.1,205.6,56
43.4,249.1,79
32.0,170.3,79
34.7,106.4,36
28.2,7.6,71
18.2,225.3,81
34.0,177.2,71
42.6,27.1,71
15.8,227.8,50
19.4,22.4,42
34.7,1.7,22
23.2,182.1,79
41.3,298.5,54
40.6,261.7,20
7.9,140.9,73
37.6,119.3,59
24.0,257.0,28
5.8,40.8,48
8.9,80.2,96
43.9,197.2,64
12.0,80.9,67
21.6,153.9,49
13.8,153.7,25
23.5,20.3,69
37.2,199.8,35
12.2,281.7,23
8.3,291.3,71
6.6,228.5,53
19.5,42.7,57
29.1,258.1,65
5.3,242.4,28
35.7,36.1,26
30.1,164.0,49
27.1,41.0,81
14.2,153.3,44
5.3,235.4,87
44.2,184.6,72
20.8,69.2,88
24.8,133.2,75
29.9,130.4,37
23.3,239.4,47
24.6,260.6,44
9.1,270.6,100
41.0,234.5,30
34.6,207.4,29
34.4,93.7,93
20.1,250.5,99
11.5,141.6,37
23.3,29.5,56
36.1,175.5,96
27.8,15.6,76
5.2,233.9,45
7.6,65.6,72
26.2,102.4,46
24.4,142.1,86
15.9,110.0,67
35.7,264.2,62
31.0,14.2,34
8.5,110.5,42
16.6,273.2,72
40.0,99.5,65
20.5,175.4,83
14.8,46.9,88
6.0,47.1,98
27.9,281.5,76
23.8,273.1,96
36.7,246.0,20
14.4,28.8,86
28.0,226.3,90
15.4,134.1,45
16.8,149.4,24
7.8,170.3,65
43.6,113.7,90
34.1,0.5,72
30.5,20.6,94
39.6,30.5,58
19.4,154.3,49
14.4,116.5,97
41.3,183.4,72
44.8,163.5,72
36.8,108.5,45
18.8,242.3,50
27.6,94.8,98
42.3,10.9,89
7.7,51.5,79
12.3,140.9,29
11.9,261.7,76
21.3,56.4,65
16.1,32.0,26
40.9,270.5,98
40.0,277.7,25
20.5,159.3,75
40.2,65.4,93
11.1,122.8,43
13.6,208.5,66
40.9,204.7,72
38.4,74.5,32
43.5,184.4,92
6.9,71.5,67
10.8,17.0,32
35.9,196.2,98
39.1,22.9,46
11.3,82.2,88
26.1,173.8,71
35.9,219.5,44
13.1,275.8,58
10.1,3.5,76
44.2,297.6,35
16.1,198.1,57
29.2,195.0,50
13.1,1.7,22
25.2,81.2,30
8.5,73.4,59
30.7,146.4,43
42.6,87.0,94
18.1,189.9,47
5.7,181.0,37
20.7,63.3,65
7.4,88.0,34
18.7,158.7,53
24.4,102.6,45
5.7,242.6,86
27.7,94.4,82
31.4,236.0,27
31.5,126.4,41
28.1,168.0,55
40.0,191.3,76
44.9,198.2,86
6.0,294.7,44
33.2,59.8,59
42.4,166.5,52
41.2,44.9,57
35.5,27.9,44
11.6,161.5,52
29.9,25.1,85
15.3,106.4,59
24.4,263.3,34
18.8,249.2,93
43.0,123.0,54
32.2,50.5,94
36.0,238.5,32
16.6,159.1,85
42.8,227.2,98
28.2,10.8,72
15.9,146.9,83
12.1,4.2,98
16.3,244.7,54
32.4,146.2,62
17.7,39.2,96
31.7,50.0,85
30.0,292.1,32
21.0,264.5,61
30.5,96.3,29
33.3,146.0,93
40.4,158.7,41
8.0,282.6,55
14.5,184.7,82
15.9,19.7,91
16.9,158.9,72
17.6,23.8,82
36.6,65.9,50
18.0,229.3,49
19.9,219.9,31
39.9,252.8,98
9.8,111.1,48
23.7,97.0,32
40.8,286.9,69
21.1,138.2,90
8.7,33.7,28
8.5,298.2,67
24.0,268.6,33
34.0,168.8,96
6.5,53.1,42
25.6,208.5,57
13.2,203.7,32
38.9,144.7,34
42.2,48.8,66
12.5,89.5,89
18.5,7.4,21
25.3,61.3,56
9.4,93.8,86
41.2,281.1,29
17.0,169.8,94
39.6,28.8,64
21.0,279.1,68
14.8,295.8,43
32.0,139.9,60
35.2,94.6,99
11.6,149.2,29
26.7,245.2,55
40.7,81.4,99
5.5,137.8,69
30.4,271.1,26
33.5,190.0,59
8.5,170.8,47
35.3,11.6,81
10.7,150.9,94
20.6,21.0,81
19.4,122.0,84
15.3,282.6,38
36.8,74.9,54
26.1,39.6,32
28.2,4.8,69
29.1,169.3,85
41.2,234.4,97
40.4,71.2,94
39.3,190.3,35
22.1,280.2,77
11.8,155.1,51
35.3,213.7,81
31.8,275.3,68
18.8,61.3,20
32.7,12.7,75
19.1,82.8,77
21.1,25.4,57
18.2,38.0,69
7.4,4.3,47
32.5,122.3,87
41.7,217.6,53
32.3,18.7,47
19.4,149.6,89
17.1,1.8,75
21.5,29.0,32
40.6,57.8,51
24.2,113.7,31
23.3,83.3,27
34.5,174.1,58
36.6,186.9,45
11.5,75.5,74
6.5,165.7,70
24.7,97.8,84
42.3,284.0,55
13.4,52.6,89
21.2,4.5,66
19.0,290.6,46
29.7,166.2,46
44.8,114.8,58
25.0,134.8,40
30.1,99.4,97
44.2,158.2,64
39.1,62.0,21
14.3,237.8,28
22.9,253.0,32
9.1,85.1,75
10.1,68.2,55
20.4,194.5,26
18.6,85.3,59
21.5,277.8,48
37.5,114.6,46
31.4,95.6,56
12.7,32.2,71
17.9,9.3,84
16.2,36.0,28
36.2,291.8,64
29.5,70.5,46
10.6,10.3,91
38.8,218.7,91
22.0,60.4,55
28.5,65.9,91
41.5,32.0,65
25.4,276.2,55
41.1,264.6,66
15.1,231.8,85
9.2,10.3,67
16.8,158.0,70
9.7,295.4,38
13.2,146.2,75
17.5,138.4,100
16.2,63.7,70
40.5,288.1,38
40.6,138.2,68
15.4,68.6,90
17.2,12.7,80
41.1,68.4,34
14.0,204.6,29
21.0,262.4,72
32.2,130.2,72
14.4,125.4,90
30.3,199.5,83
31.9,203.2,100
35.5,203.4,70
6.5,81.5,65
17.9,227.6,52
41.9,178.0,80
15.3,119.3,34
42.5,291.7,45
44.0,299.9,36
35.8,195.9,81
5.2,80.5,90
16.8,192.0,100
14.7,181.4,79
22.0,91.2,48
32.9,2.3,100
42.9,44.3,98
23.5,134.2,20
44.4,166.6,84
5.5,221.1,26
22.7,105.9,73
40.7,75.2,47
37.6,182.6,67
32.7,161.3,90
5.7,283.0,38
18.5,45.1,48
15.0,203.3,52
5.4,208.3,66
27.1,265.8,57
31.8,15.2,60
28.0,73.8,22
31.2,209.2,89
34.1,186.2,67
8.7,281.2,74
34.6,269.4,98
43.0,277.1,29
33.3,65.6,100
27.9,244.6,85
40.6,225.4,56
12.0,254.1,90
27.9,290.3,63
10.7,50.1,30
16.7,18.0,63
13.7,227.3,58
27.4,103.5,27
39.9,6.6,35
10.8,35.4,30
29.4,78.6,99
20.5,44.2,63
12.1,232.8,77
29.2,134.7,100
41.9,262.6,58
33.9,111.5,95
10.2,98.7,80
11.8,104.7,27
34.4,273.3,34
43.7,262.6,78
17.7,81.6,56
36.0,84.7,49
15.5,145.7,86
10.8,261.9,98
13.2,243.0,21
39.8,244.2,44
18.1,64.2,26
41.1,51.6,84
19.1,298.5,75
35.6,61.8,84
24.6,100.4,51
15.5,100.4,75
25.1,166.0,30
39.4,208.7,62
29.7,15.9,60
14.7,199.1,32
14.2,168.0,49
25.8,155.7,66
11.6,205.2,26
19.7,236.5,24
41.0,239.8,41
44.1,291.4,92
13.8,76.4,100
43.7,270.0,59
8.5,285.5,50
8.0,87.9,29
23.2,223.9,95
30.5,237.2,85
21.1,207.0,35
8.0,183.8,22
19.0,246.2,24
28.2,78.9,82
28.0,40.2,72
21.5,22.5,99
6.0,207.3,77
5.5,18.4,52
40.3,54.1,61
35.6,224.6,20
37.7,17.8,86
12.7,6.7,52
40.6,181.7,96
13.8,62.2,33
37.6,224.5,74
43.3,291.4,65
7.3,81.5,39
21.0,68.8,49
18.3,236.2,78
23.4,142.4,94
39.9,298.7,78
41.0,293.5,36
11.4,213.4,55
21.7,61.1,88
38.7,198.8,99
13.2,293.7,43
28.9,189.3,90
30.8,278.8,70
28.3,240.3,58
30.0,8.5,59
24.0,234.0,37
10.4,287.5,54
23.5,156.6,40
32.9,226.0,96
34.1,260.9,34
39.6,249.6,31
30.8,218.0,85
39.8,86.5,27
10.8,42.1,78
15.4,64.7,43
7.8,136.4,89
39.4,232.4,93
42.9,205.3,49
21.2,181.8,85
34.9,166.0,70
11.9,156.8,87
14.6,53.0,28
33.2,119.7,63
27.5,266.5,58
18.7,257.2,66
36.7,135.6,20
34.9,10.0,51
5.0,242.6,62
40.4,161.0,70
5.5,115.0,90
17.9,72.0,88
5.8,199.2,88
16.0,160.6,53
32.1,279.9,20
23.9,177.5,51
38.6,103.5,62
9.5,242.7,82
16.0,199.2,27
8.1,228.9,25
8.1,26.5,94
43.7,267.5,98
42.7,244.6,53
22.5,182.0,23
14.7,221.4,87
9.8,280.5,23
38.7,43.0,65
13.7,136.0,35
19.3,161.8,32
44.0,126.2,98
35.5,221.0,22
18.7,170.4,55
37.4,224.3,60
39.6,49.3,91
6.3,271.8,42
42.4,169.3,63
28.2,0.1,30
44.7,235.6,73
6.0,70.4,26
41.1,1.5,30
25.3,91.2,77
18.1,13.8,54
44.2,4.9,84
18.7,37.2,92
30.8,239.6,97
44.0,89.1,34
30.2,167.6,25
5.3,216.0,58
34.4,293.3,29
41.0,62.3,22
24.5,226.4,26
9.4,31.0,57
27.6,186.6,27
27.1,240.3,29
39.2,100.8,64
33.0,5.1,100
27.6,254.9,91
24.3,2.0,53
28.4,89.1,34
11.5,296.0,87
32.1,287.2,61
42.4,148.7,57
23.7,259.3,56
37.0,191.7,71
14.7,81.1,96
31.8,161.1,77
25.9,103.7,95
23.2,165.4,34
41.6,270.0,47
33.6,38.5,47
